DISTRICT NAME,SUB-DISTRICT NAME
Muzaffarpur,Kurhani
Muzaffarpur,Sakra
Gopalganj,Katiya
Gopalganj,Bijaipur
Gopalganj,Bhorey
Gopalganj,Pach Deuri
Gopalganj,Kuchaikote
Gopalganj,Phulwaria
Gopalganj,Hathua
Gopalganj,Uchkagaon
Gopalganj,Thawe
Gopalganj,Gopalganj
Gopalganj,Manjha
Gopalganj,Barauli
Gopalganj,Sidhwalia
Gopalganj,Baikunthpur
Siwan,Nautan
Siwan,Siwan
Siwan,Barharia
Siwan,Goriakothi
Siwan,Lakri Nabiganj
Siwan,Basantpur
Siwan,Bhagwanpur Hat
Siwan,Maharajganj
Siwan,Pachrukhi
Siwan,Hussainganj
Siwan,Ziradei
Siwan,Mairwa
Siwan,Guthani
Siwan,Darauli
Siwan,Andar
Siwan,Raghunathpur
Siwan,Hasanpura
Siwan,Daraundha
Siwan,Siswan
Saran,Mashrakh
Saran,Panapur
Saran,Taraiya
Saran,Ishupur
Saran,Baniapur
Saran,Lahladpur
Saran,Ekma
Saran,Manjhi
Saran,Jalalpur
Saran,Revelganj
Saran,Chapra
Saran,Nagra
Saran,Marhaura
Saran,Amnour
Saran,Maker
Saran,Parsa
Saran,Dariapur
Saran,Garkha
Saran,Dighwara
Saran,Sonepur
Vaishali,Vaishali
Vaishali,Paterhi Belsar
Vaishali,Lalganj
Vaishali,Bhagwanpur
Vaishali,Goraul
Vaishali,Chehra Kalan
Vaishali,Patepur
Vaishali,Mahua
Vaishali,Jandaha
Vaishali,Raja Pakar
Vaishali,Hajipur
Vaishali,Raghopur
Vaishali,Bidupur
Vaishali,Desri
Vaishali,Sahdai Buzurg
Vaishali,Mahnar
Samastipur,Kalyanpur
Samastipur,Warisnagar
Samastipur,Shivaji Nagar
Samastipur,Khanpur
Samastipur,Samastipur
Samastipur,Pusa
Samastipur,Tajpur
Samastipur,Morwa
Samastipur,Patori
Samastipur,Mohanpur
Samastipur,Mohiuddinagar
Samastipur,Sarairanjan
Samastipur,Vidyapati Nagar
Samastipur,Dalsinghsarai
Samastipur,Ujiarpur
Samastipur,Bibhutpur
Samastipur,Rosera
Samastipur,Singhia
Samastipur,Hasanpur
Samastipur,Bithan
Begusarai,Khudabandpur
Begusarai,Chhorahi
Begusarai,Garhpura
Begusarai,Cheria Bariarpur
Begusarai,Bhagwanpur
Begusarai,Mansurchak
Begusarai,Bachhwara
Begusarai,Teghra
Begusarai,Barauni
Begusarai,Birpur
Begusarai,Begusarai
Begusarai,Naokothi
Begusarai,Bakhri
Begusarai,Dandari
Begusarai,Sahebpur Kamal
Begusarai,Balia
Begusarai,Matihani
Begusarai,Shamho Akha Kurha
Khagaria,Alauli
Khagaria,Khagaria
Khagaria,Mansi
Khagaria,Chautham
Khagaria,Beldaur
Khagaria,Gogri
Khagaria,Parbatta
Bhagalpur,Narayanpur
Bhagalpur,Bihpur
Bhagalpur,Kharik
Bhagalpur,Naugachhia
Bhagalpur,Rangra Chowk
Bhagalpur,Gopalpur
Bhagalpur,Pirpainti
Bhagalpur,Colgong
Bhagalpur,Ismailpur
Bhagalpur,Sabour
Bhagalpur,Nathnagar
Bhagalpur,Sultanganj
Bhagalpur,Shahkund
Bhagalpur,Goradih
Bhagalpur,Jagdishpur
Bhagalpur,Sonhaula
Banka,Shambhuganj
Banka,Amarpur
Banka,Rajaun
Banka,Dhuraiya
Banka,Barahat
Banka,Banka
Banka,Phulidumar
Banka,Belhar
Banka,Chanan
Banka,Katoria
Banka,Bausi
Munger,Munger
Munger,Bariarpur
Munger,Jamalpur
Munger,Dharhara
Munger,Kharagpur
Munger,Asarganj
Munger,Tarapur
Munger,Tetiha Bambor
Munger,Sangrampur
Lakhisarai,Barahiya
Lakhisarai,Pipariya
Lakhisarai,Surajgarha
Lakhisarai,Lakhisarai
Lakhisarai,Chanan*
Lakhisarai,Ramgarh Chowk
Lakhisarai,Halsi
Sheikhpura,Barbigha
Sheikhpura,Shekhopur Sarai
Sheikhpura,Sheikhpura
Sheikhpura,Ghat Kusumbha
Sheikhpura,Chewara
Sheikhpura,Ariari
Nalanda,Karai Parsurai
Nalanda,Nagar Nausa
Nalanda,Harnaut
Nalanda,Chandi
Nalanda,Rahui
Nalanda,Bind
Nalanda,Sarmera
Nalanda,Asthawan
Nalanda,Bihar
Nalanda,Noorsarai
Nalanda,Tharthari
Nalanda,Parbalpur
Nalanda,Hilsa
Nalanda,Ekangarsarai
Nalanda,Islampur
Nalanda,Ben
Nalanda,Rajgir
Nalanda,Silao
Nalanda,Giriak
Nalanda,Katrisarai
Patna,Maner
Patna,Dinapur-Cum-Khagaul
Patna,Patna Rural
Patna,Sampatchak
Patna,Phulwari
Patna,Bihta
Patna,Naubatpur
Patna,Bikram
Patna,Dulhin Bazar
Patna,Paliganj
Patna,Masaurhi
Patna,Dhanarua
Patna,Punpun
Patna,Fatwah
Patna,Daniawan
Patna,Khusrupur
Patna,Bakhtiarpur
Patna,Athmalgola
Patna,Belchhi
Patna,Barh
Patna,Pandarak
Patna,Ghoswari
Patna,Mokameh
Bhojpur,Shahpur
Bhojpur,Arrah
Bhojpur,Barhara
Bhojpur,Koilwar
Bhojpur,Sandesh
Bhojpur,Udwant Nagar
Bhojpur,Behea
Bhojpur,Jagdishpur
Bhojpur,Piro
Bhojpur,Charpokhari
Bhojpur,Garhani
Bhojpur,Agiaon
Bhojpur,Tarari
Bhojpur,Sahar
Buxar,Simri
Buxar,Chakki
Buxar,Barhampur
Buxar,Chaugain
Buxar,Kesath
Buxar,Dumraon
Buxar,Buxar
Buxar,Chausa
Buxar,Rajpur
Buxar,Itarhi
Buxar,Nawanagar
Kaimur (Bhabua),Ramgarh
Kaimur (Bhabua),Nuaon
Kaimur (Bhabua),Kudra
Kaimur (Bhabua),Mohania
Kaimur (Bhabua),Durgawati
Kaimur (Bhabua),Chand
Kaimur (Bhabua),Chainpur
Kaimur (Bhabua),Bhabua
Kaimur (Bhabua),Rampur
Kaimur (Bhabua),Bhagwanpur
Kaimur (Bhabua),Adhaura
Rohtas,Kochas
Rohtas,Dinara
Rohtas,Dawath
Rohtas,Suryapura
Rohtas,Bikramganj
Rohtas,Karakat
Rohtas,Nasriganj
Rohtas,Rajpur
Rohtas,Sanjhauli
Rohtas,Nokha
Rohtas,Kargahar
Rohtas,Chenari
Rohtas,Nauhatta
Rohtas,Sheosagar
Rohtas,Sasaram
Rohtas,Akorhi Gola
Rohtas,Dehri
Rohtas,Tilouthu
Rohtas,Rohtas
Aurangabad,Daudnagar
Aurangabad,Haspura
Aurangabad,Goh
Aurangabad,Rafiganj
Aurangabad,Obra
Aurangabad,Aurangabad
Aurangabad,Barun
Aurangabad,Nabinagar
Aurangabad,Kutumba
Aurangabad,Deo
Aurangabad,Madanpur
Gaya,Konch
Gaya,Tikari
Gaya,Belaganj
Gaya,Khizirsarai
Gaya,Neem Chak Bathani
Gaya,Muhra
Gaya,Atri
Gaya,Manpur
Gaya,Gaya Town C.D.Block
Gaya,Paraiya
Gaya,Guraru
Gaya,Gurua
Gaya,Amas
Gaya,Banke Bazar
Gaya,Imamganj
Gaya,Dumaria
Gaya,Sherghati
Gaya,Dobhi
Gaya,Bodh Gaya
Gaya,Tan Kuppa
Gaya,Wazirganj
Gaya,Fatehpur
Gaya,Mohanpur
Gaya,Barachatti
Nawada,Nardiganj
Nawada,Nawada
Nawada,Warisaliganj
Nawada,Kashi Chak
Nawada,Pakribarawan
Nawada,Kawakol
Nawada,Roh
Nawada,Gobindpur
Nawada,Akbarpur
Nawada,Hisua
Nawada,Narhat
Nawada,Meskaur
Nawada,Sirdala
Nawada,Rajauli
Jamui,Islamnagar Aliganj
Jamui,Sikandra
Jamui,Jamui
Jamui,Barhat
Jamui,Lakshmipur
Jamui,Jhajha
Jamui,Gidhaur
Jamui,Khaira
Jamui,Sono
Jamui,Chakai
Jehanabad,Ratni Faridpur
Jehanabad,Jehanabad
Jehanabad,Kako
Jehanabad,Modanganj
Jehanabad,Ghoshi
Jehanabad,Makhdumpur
Jehanabad,Hulasganj
Arwal,Arwal
Arwal,Kaler
Arwal,Karpi
Arwal,Sonbhadra Banshi Suryapur
Arwal,Kurtha
North  District,Chungthang
North  District,Mangan
West District,Gyalshing
West District,Soreng
South District,Namchi
South District,Ravong
East District,Gangtok
East District,Pakyong
East District,Rongli
Tawang,Zemithang
Tawang,Lumla
Tawang,Dudunghar
Tawang,Tawang
Tawang,Kitpi
Tawang,Jang
Tawang,Lhou
Tawang,Mukto
Tawang,Bongkhar
Tawang,Thingbu
West Kameng,Dirang
West Kameng,Thembang
West Kameng,Nafra
West Kameng,Bomdila
West Kameng,Kalaktang
West Kameng,Shergaon
West Kameng,Rupa
West Kameng,Singchung
West Kameng,Jamiri
West Kameng,Thrizino
West Kameng,Bhalukpong
West Kameng,Kamengbari-Doimara
West Kameng,Balemu
East Kameng,Seijosa
East Kameng,Dissing-Passo
East Kameng,Pakke-Kessang
East Kameng,Pizirang(Veo)
East Kameng,Richukrong
East Kameng,Seppa
East Kameng,Lada
East Kameng,Bameng
East Kameng,Pipu-Dipu
East Kameng,Gyawe Purang
East Kameng,Khenewa
East Kameng,Chayangtajo
East Kameng,Sawa
Papum Pare,Balijan
Papum Pare,Banderdawa
Papum Pare,Sangdupota (Besar Nello)
Papum Pare,Taraso
Papum Pare,Itanagar
Papum Pare,Naharlagun
Papum Pare,Doimukh
Papum Pare,Gumto
Papum Pare,Toru
Papum Pare,Sagalee
Papum Pare,Parang
Papum Pare,Leporiang
Papum Pare,Mengio
Papum Pare,Kimin
Papum Pare,Kakoi
